Geneid	/scratch/user/smit1924/preeclampsia_sex_chromosome_informed/deduplicated_clearBox/deduplicated_bams/SCP3954_marked_duplicates.bam	/scratch/user/smit1924/preeclampsia_sex_chromosome_informed/deduplicated_clearBox/deduplicated_bams/SCP4733_marked_duplicates.bam	/scratch/user/smit1924/preeclampsia_sex_chromosome_informed/deduplicated_clearBox/deduplicated_bams/STP0148_marked_duplicates.bam	/scratch/user/smit1924/preeclampsia_sex_chromosome_informed/deduplicated_clearBox/deduplicated_bams/STP0596_marked_duplicates.bam	/scratch/user/smit1924/preeclampsia_sex_chromosome_informed/deduplicated_clearBox/deduplicated_bams/STP0932_marked_duplicates.bam	/scratch/user/smit1924/preeclampsia_sex_chromosome_informed/deduplicated_clearBox/deduplicated_bams/STP1206_marked_duplicates.bam
ENSG00000241563.3	5	0	0	0	0	1
ENSG00000160049.11	741	304	1216	374	293	323
ENSG00000203469.2	0	0	0	0	0	0
ENSG00000142655.12	243	71	455	76	119	123
ENSG00000243267.3	1	0	0	0	0	0
ENSG00000130940.14	112	24	35	56	52	27
ENSG00000272078.1	10	0	7	1	1	4
ENSG00000225158.2	0	0	0	0	0	0
ENSG00000175262.14	3	2	13	4	0	1
ENSG00000215785.2	0	0	0	2	0	0
ENSG00000120948.17	792	407	645	252	409	309
ENSG00000277726.4	1	1	0	0	0	0
ENSG00000009724.16	27	15	12	3	15	6
ENSG00000271895.2	32	13	8	5	13	4
ENSG00000116649.9	170	36	305	118	54	56
ENSG00000171824.13	735	343	1034	370	388	372
ENSG00000226849.1	5	1	1	0	1	0
ENSG00000230337.1	3	0	1	1	1	1
ENSG00000198793.12	1276	474	1623	590	555	612
ENSG00000225602.5	1	1	0	0	0	0
ENSG00000253086.1	0	0	0	0	0	0
ENSG00000171819.4	16	4	5	9	2	2
ENSG00000207451.1	0	0	0	0	0	0
ENSG00000238173.1	0	0	0	0	0	1
ENSG00000120942.13	115	43	217	69	61	77
ENSG00000238199.1	1	0	0	0	0	0
ENSG00000284646.1	0	0	0	0	0	0
ENSG00000224338.2	0	0	0	0	0	0
ENSG00000204624.7	0	0	1	0	0	0
ENSG00000285833.1	0	0	0	0	0	0
ENSG00000235643.1	0	0	0	0	0	0
ENSG00000284708.1	1	0	0	0	1	0
ENSG00000116661.10	1	0	5	1	6	0
ENSG00000132879.13	13	5	29	15	10	3
ENSG00000116663.10	31	10	73	26	12	11
ENSG00000116670.14	101	36	321	39	41	83
ENSG00000162490.6	2	0	2	3	1	0
ENSG00000177674.15	146	18	163	114	46	49
ENSG00000215910.7	0	0	0	0	0	0
ENSG00000177553.6	0	0	0	0	0	0
ENSG00000177000.12	248	42	406	208	125	86
ENSG00000011021.22	263	89	161	100	129	83
ENSG00000276470.1	0	0	0	0	0	0
ENSG00000278852.1	0	0	0	0	0	0
ENSG00000175206.10	2	2	0	0	0	2
ENSG00000275915.1	0	0	0	0	0	0
ENSG00000120937.8	0	0	2	0	0	0
ENSG00000224904.1	1	1	0	1	0	0
ENSG00000285646.1	17	1	7	0	1	1
ENSG00000199347.1	0	0	0	0	0	0
ENSG00000201801.1	1	2	4	0	0	0
